Actual.chocolate,Previo.chocolate
0.0045993,0.0110808
0.0097305,0.0124088
0.0076558,0.0124175
0.0084529,0.0086765
0.007249,0.0148266
0.0059734,0.0101381
0.0084529,0.0086953
0.0084515,0.0102026
0.0102214,0.0116206
0.0045993,0.0139173
0.0099773,0.0131617
0.0070585,0.0101505
0.0069883,0.0116279
0.0069018,0.007989
0.0090725,0.0108279
0.0069883,0.0145988
0.0097305,0.0153928
0.0076647,0.0116206
0.0102229,0.0161383
0.0102185,0.0117069
0.0070333,0.0116265
0.007882,0.0086484
0.0102185,0.0125594
0.0056624,0.0101456
0.0072505,0.0131777
0.0090844,0.0130697
0.0056624,0.0131614
0.0128395,0.0132171
0.0090844,0.0116675
0.010841,0.0132111
0.0099995,0.0131703
0.0102185,0.0125489
0.0070333,0.0108336
0.007882,0.007989
0.0090844,0.0103606
0.0070333,0.0123703
0.007882,0.0109641
0.0045993,0.0101863
0.0084515,0.0095399
0.0128395,0.0108781
0.0087726,0.0101863
0.0070333,0.010204
0.0108573,0.0116291
0.0102229,0.0123645
0.0108395,0.0123645
0.009071,0.0123717
0.0102229,0.0153898
0.0069018,0.0093937
0.0061401,0.0123615
0.01022,0.0131955
0.007882,0.0131585
0.0070333,0.0116395
0.0111037,0.0101367
0.010841,0.0123778
0.0070333,0.0116191
0.0072192,0.0108839
0.0084529,0.0147082
0.0061254,0.0109961
0.0087741,0.012518
0.0128395,0.0116828
0.0091938,0.0124147
0.0099743,0.0116799
0.0128395,0.0095384
0.0091938,0.011666
0.0084515,0.0109507
0.0059734,0.0116899
0.0097349,0.0086454
0.0054954,0.011625
0.0076647,0.0131585
0.0039723,0.0153898
0.0061254,0.0139025
0.0099743,0.0102085
0.0108499,0.0116454
0.010841,0.0101892
0.0061268,0.0138592
0.0116293,0.009534
0.0084529,0.0095414
0.0084515,0.0146936
0.0111037,0.01316
0.010841,0.0086706
0.0099773,0.0146936
0.0116293,0.0100897
0.0116293,0.0100897
0.0045993,0.0095414
0.0102185,0.0094396
0.0111037,0.01316
0.0091938,0.0093952
0.0076706,0.0145988
0.0039723,0.0108338
0.0061254,0.0109641
0.0056624,0.0116306
0.007882,0.0087091
0.0091938,0.0124147
0.0099743,0.0101908
0.0102214,0.011638
0.0097349,0.0125121
0.0054954,0.0116857
0.0076647,0.0123645
0.0102229,0.0145988
0.0069018,0.0131644
0.0069018,0.0131644
