Actual.joystick,Previo.joystick
0.00005931,0.0001698044
4.737293584E-05,0.000144911
0.0001647783,0.0001125679
1.634423184E-05,2.95729316100001E-05
0.0001058903,0.0001143253
0.0002042756,0.000099936
0.00005931,8.58828492900001E-05
6.93505872900001E-05,3.10326984900001E-05
0.0001672521,0.0001489425
3.26863758400001E-05,4.737293584E-05
0.0001120592,7.10446694400001E-05
0.0001966221,0.00014874
0.0001124788,0.0001485985
9.55643104900001E-05,7.10446694400001E-05
8.59087996900001E-05,0.00014874
0.0001124788,4.737293584E-05
8.31962894400001E-05,4.749277225E-05
0.0001259019,8.37847315600001E-05
0.0001346923,0.0001120592
8.59903836100001E-05,0.0001424681
2.30284814400001E-05,6.058909921E-05
0.0001346923,1.136768656E-05
8.59903836100001E-05,0.0001142355
3.90362544100001E-05,9.534936609E-05
4.975045156E-05,8.38872810000001E-05
8.60163502500001E-05,1.136768656E-05
5.94425580100001E-05,6.06545016100001E-05
3.76161422400001E-05,6.05190643600001E-05
0.0002088545,8.59087996900001E-05
0.0001600959,0.0001024589
0.0001320936,5.207209921E-05
9.907017156E-05,0.0001629937
0.0001673556,0.0001526806
0.0001768262,0.0001528784
6.90311722500001E-05,0.0001451158
0.0001318708,0.0001424681
2.966327296E-05,4.978149136E-05
5.63910883600001E-05,7.81155468900001E-05
0.00004705,0.0001354198
4.75272360000001E-05,0.000144911
0.0001455136,0.000099936
9.17783160100001E-05,8.58828492900001E-05
0.000146306,0.0001143253
0.000132004,0.000099936
2.022570729E-05,2.95729316100001E-05
0.000108714,0.000144911
0.0001424681,0.000099936
9.32962810000001E-05,0.0001698044
4.754654116E-05,9.534936609E-05
0.0001148777,0.0001024589
6.74024580100001E-05,6.058909921E-05
0.0001791716,0.0001629937
8.596071225E-05,0.0001526806
6.74024580100001E-05,8.60163502500001E-05
0.0001820098,3.10326984900001E-05
0.0001713586,6.36436972900001E-05
8.88702144100001E-05,8.88834128400001E-05
9.55095744100001E-05,7.10446694400001E-05
0.0001317032,0.00005931
0.0001490353,2.95729316100001E-05
8.57790868900001E-05,6.058442896E-05
6.49383289000002E-06,0.0001526806
0.0001346923,0.0001528784
8.59903836100001E-05,2.022570729E-05
5.94425580100001E-05,0.000108714
5.83268238400001E-05,0.0001142355
0.0001183679,9.534936609E-05
5.94425580100001E-05,0.0001828147
0.000046387,2.339753641E-05
0.0001142355,8.37096904900001E-05
9.534936609E-05,0.0001124788
0.0001828147,8.31962894400001E-05
7.493845489E-05,0.000099936
0.0001600959,8.58828492900001E-05
0.0001769379,3.10326984900001E-05
9.88473408400001E-05,6.058909921E-05
9.54783036900001E-05,2.833752289E-05
4.75272360000001E-05,3.286270276E-05
0.0001455136,0.0001451832
0.000167353,3.20876931600001E-05
8.58828492900001E-05,0.0001346064
0.0001447017,8.37353104900001E-05
0.00005931,1.215568225E-05
4.737293584E-05,4.764588676E-05
0.0001672521,6.06545016100001E-05
8.37847315600001E-05,0.0001528784
0.000108714,0.0001451158
0.0001148477,0.0001354198
3.26863758400001E-05,0.0001528784
0.0001120592,7.81155468900001E-05
0.0001180613,0.0001457573
8.37847315600001E-05,9.97981020100001E-05
0.0001791716,0.0001768262
0.0001713586,6.90311722500001E-05
0.0001124788,0.0001319029
6.26013264100001E-05,1.215568225E-05
8.37096904900001E-05,1.136768656E-05
0.0001124788,6.06545016100001E-05
8.77669185600001E-05,0.000132004
8.37096904900001E-05,9.53747560000001E-05
0.0001105694,0.000085831
