Actual.milk,Previo.milk
0.000372768,0.0004715543
0.0003438725,0.0003978429
0.0002109379,0.0004388941
0.0004438438,0.0003980105
0.0004719322,0.0003410744
0.0004745557,0.0004388941
0.0002567269,0.0004106094
0.0005368211,0.0002103051
0.0004037005,0.0004089697
0.0004382324,0.000354087
0.0002795216,0.0003980743
0.0005041058,0.0004087392
0.0003257411,0.0004089697
0.0004929776,0.0004089697
0.000469862,0.0003540306
0.0005762544,0.0002473008
0.0003781391,0.0004715543
0.0004299734,0.0004108972
0.0004105446,0.0002729666
0.0004423198,0.0004087392
0.0002766999,0.0004313638
0.000596522,0.0005058181
0.0004453662,0.0005058181
0.0004139719,0.0003779175
0.0002797189,0.0002473008
0.0003557562,0.0004652476
0.0005026519,0.0004044282
0.0005401859,0.0002729666
0.0004108972,0.0004087392
0.000351675,0.000210308
0.0005004572,0.0003540306
0.0002540645,0.0004106094
0.0005049234,0.0005004572
0.0002473008,0.0005017018
0.0005401859,0.0002729666
0.0004748651,0.0005004572
0.0002473008,0.0004313638
0.0005401859,0.0005032754
0.0005087912,0.0004382324
0.0002729666,0.0002100528
0.0002109379,0.0004381277
0.0004393551,0.0005004572
0.0004135773,0.0004089697
0.0004344848,0.000414212
0.0002332981,0.000414212
0.0005245474,0.0002100528
0.0004149247,0.0002100528
0.00043653,0.0002473008
0.0003296077,0.0004087392
0.0005381101,0.0004698056
0.0004719322,0.0004108972
0.0001689246,0.000372768
0.0002540645,0.0002305083
0.0002104356,0.0003776881
0.0005356031,0.000414033
0.0003779719,0.0002473008
0.0004108972,0.0005005243
0.0003257411,0.0004086179
0.0004385967,0.0004089697
0.0002543451,0.000414212
0.00038349,0.0003980105
0.0004974104,0.0004652476
0.0004299734,0.000210308
0.0004748651,0.000414033
0.0004423198,0.000414033
0.0002103051,0.000414033
0.0006345462,0.0003980105
0.0004783013,0.0004650535
0.0004452395,0.0003782519
0.0005057506,0.0002731583
0.0004381277,0.0002542558
0.0003257411,0.0004313638
0.000407523,0.0005032754
0.0004750569,0.0002108972
0.0004106702,0.0004089697
0.0003296077,0.0005058181
0.0004657352,0.0005058181
0.0005058181,0.0005058181
0.0002109379,0.0001704539
0.0005246115,0.0003980105
0.0004719322,0.0003980105
0.0002339615,0.0003540306
0.0004438438,0.0003269117
0.000414212,0.0004715543
0.0003477628,0.0004108972
0.0004715543,0.000372768
0.0004750569,0.0002305083
0.0002328951,0.0003776881
0.0005708133,0.000414033
0.000469862,0.0003980105
0.0004719322,0.0003410744
0.0004656705,0.0004388941
0.0004105446,0.0004106094
0.0004390156,0.0002103051
0.0004106702,0.0004089697
0.0005380405,0.000414212
0.0005038723,0.0003269117
0.0003271179,0.0004715543
0.0003477628,0.0004044282
0.0004390408,0.0005032754
0.0004679088,0.0005032754
